Customer Number,Age,Marital Status, Annual Income ($) , Mortgage Amount ($) , Payments Per Year , Total Amount Paid ($) ,Default on Mortgage?
1,37,SINGLE,172125.7,473402.96,24,581885.13,YES
2,31,SINGLE,108571.04,300468.6,12,489320.38,NO
3,37,MARRIED,124136.41,330664.24,24,493541.93,YES
4,24,MARRIED,79614.04,230222.94,24,449682.09,YES
5,27,SINGLE,68087.33,282203.53,12,520581.82,NO
6,30,MARRIED,59959.8,251242.7,24,356711.58,YES
7,41,SINGLE,99394.05,282737.29,12,524053.46,NO
8,29,SINGLE,38527.35,238125.19,12,468595.99,NO
9,31,MARRIED,112078.62,297133.24,24,399617.4,YES
10,36,SINGLE,224899.71,622578.74,12,1233002.14,NO
11,31,MARRIED,27945.36,215440.31,24,285900.1,YES
12,40,SINGLE,48929.74,252885.1,12,336574.63,NO
13,39,MARRIED,82810.92,183045.16,12,262537.23,NO
14,31,SINGLE,68216.88,165309.34,12,253633.17,NO
15,40,SINGLE,59141.13,220176.18,12,424749.8,NO
16,45,MARRIED,72568.89,233146.91,12,356363.93,NO
17,32,MARRIED,101140.43,245360.02,24,388429.41,YES
18,37,MARRIED,124876.53,320401.04,4,360783.45,YES
19,32,MARRIED,133093.15,494395.63,12,861874.67,NO
20,32,SINGLE,85268.67,159010.33,12,308656.11,NO
21,37,SINGLE,92314.96,249547.14,24,342339.27,YES
22,29,MARRIED,120876.13,308618.37,12,472668.98,NO
23,24,SINGLE,86294.13,258321.78,24,380347.56,YES
24,32,MARRIED,216748.68,634609.61,24,915640.13,YES
25,44,SINGLE,46389.75,194770.91,12,385288.86,NO
26,28,MARRIED,132323.76,518999.12,24,776210.07,YES
27,41,MARRIED,101799.27,242974.82,12,519801.54,NO
28,42,SINGLE,72708.46,277473.87,4,351375.45,YES
29,30,MARRIED,170494.76,507883.95,12,738913.49,NO
30,35,SINGLE,61742.37,178309.62,4,204693.76,YES
31,43,MARRIED,92851.73,295768.37,4,315403.24,YES
32,27,SINGLE,67039.07,268602.19,12,436736.67,NO
33,23,SINGLE,71105.79,188100.06,12,320195.33,NO
34,39,SINGLE,58421.01,249958.88,12,427480.93,NO
35,40,SINGLE,98472.26,320908.7,12,545924.99,NO
36,37,MARRIED,112622.95,337873.51,12,561803.09,NO
37,37,SINGLE,87125.65,275337.14,4,278656.59,YES
38,33,SINGLE,78298.5,260700.34,12,517794.52,NO
39,33,SINGLE,31248.32,200414.73,12,383638.01,NO
40,35,MARRIED,99648.61,261283.23,24,510798.86,YES
41,26,MARRIED,136035.76,292050.94,4,339563.87,YES
42,38,MARRIED,96591.66,189436.48,12,366573.56,NO
43,37,MARRIED,129464.73,313174.24,12,533717.09,NO
44,35,SINGLE,56651.96,222577.2,12,474357.73,NO
45,44,MARRIED,112858.83,383158.23,4,406464.87,YES
46,40,MARRIED,127668.2,369952.3,12,677767.03,NO
47,38,SINGLE,48365.92,193899.23,12,334420.11,NO
48,37,MARRIED,92635.16,232272.87,12,450877.46,NO
49,34,SINGLE,34928.91,172785.56,12,370440.52,NO
50,38,SINGLE,65939.9,230516.29,12,470650.97,NO
51,19,SINGLE,19994.29,156295.92,12,278866.87,NO
52,28,SINGLE,18601.0,154948.22,24,262810.96,YES
53,29,MARRIED,75981.76,214715.42,24,306402.48,YES
54,34,SINGLE,51892.16,222951.96,24,322612.12,YES
55,37,SINGLE,77717.05,195609.04,12,306284.44,NO
56,33,SINGLE,48989.15,242739.62,12,463181.03,NO
57,36,MARRIED,62748.89,192981.96,12,317668.95,NO
58,32,SINGLE,65887.16,211080.01,12,285776.62,NO
59,31,SINGLE,80356.29,258271.23,12,405874.43,NO
60,38,SINGLE,101823.49,258203.73,12,455916.58,NO
61,34,SINGLE,94379.82,233052.9,12,358169.25,NO
62,42,SINGLE,76018.73,295266.94,12,489264.03,NO
63,36,SINGLE,97478.37,311764.35,12,512631.11,NO
64,36,MARRIED,115339.7,327722.22,24,574984.95,YES
65,38,SINGLE,90270.96,229971.85,12,363401.39,NO
66,38,SINGLE,103902.75,222053.28,12,376566.99,NO
67,41,SINGLE,80237.13,304681.98,12,546536.3,NO
68,33,SINGLE,81043.08,283421.43,4,325346.58,YES
69,31,MARRIED,66598.74,191783.43,12,314767.43,NO
70,45,MARRIED,126044.94,336101.28,24,506615.89,YES
71,35,MARRIED,57062.96,221619.05,12,368017.39,NO
72,37,SINGLE,97453.05,330548.09,12,546945.3,NO
73,31,SINGLE,24040.73,166529.37,24,268259.89,YES
74,40,MARRIED,69542.57,273280.7,12,500719.21,NO
75,51,SINGLE,30819.87,158343.89,12,257609.33,NO
76,36,SINGLE,111452.32,273157.77,12,414238.78,NO
77,37,SINGLE,99197.3,274266.57,12,516528.92,NO
78,30,SINGLE,111849.07,252755.64,12,553600.26,NO
79,38,MARRIED,58093.23,220651.85,4,252043.29,YES
80,32,SINGLE,90339.04,257357.73,12,394492.24,NO
81,36,SINGLE,42447.42,170528.44,12,252252.65,NO
82,24,MARRIED,186071.89,567462.0,24,992917.97,YES
83,40,SINGLE,66214.85,192854.99,12,302333.12,NO
84,31,MARRIED,177926.22,486118.62,24,596495.17,YES
85,35,MARRIED,89193.96,228914.19,12,304701.44,NO
86,26,MARRIED,34006.75,185085.9,24,316653.63,YES
87,40,MARRIED,134263.43,349814.02,12,804160.15,NO
88,32,SINGLE,73671.39,264767.11,12,400427.13,NO
89,31,MARRIED,122894.71,289073.81,24,524542.99,YES
90,35,MARRIED,108777.8,308950.0,12,609864.32,NO
91,36,MARRIED,83714.38,265419.96,12,515446.37,NO
92,33,MARRIED,62451.47,260270.82,12,488596.72,NO
93,35,SINGLE,91943.21,319802.49,12,551391.02,NO
94,45,SINGLE,98582.7,302275.29,12,567126.53,NO
95,32,MARRIED,81544.82,257044.81,4,269415.63,YES
96,35,MARRIED,100967.67,239231.13,4,280087.15,YES
97,39,MARRIED,47150.86,199196.79,24,362529.81,YES
98,35,SINGLE,77333.82,294000.47,12,542660.46,NO
99,28,MARRIED,82462.67,203264.92,24,261211.2,YES
100,33,SINGLE,74674.75,240254.71,12,381989.52,NO
101,37,SINGLE,104188.2,323031.4,12,624321.11,NO
102,43,SINGLE,123232.44,320184.68,12,571037.41,NO
103,38,SINGLE,51992.8,248885.84,12,408466.99,NO
104,36,MARRIED,96864.47,325280.69,12,694314.16,NO
105,27,MARRIED,45013.91,199287.61,12,333627.54,NO
106,43,MARRIED,88648.06,319401.06,12,623661.22,NO
107,32,MARRIED,95894.04,306566.67,12,517195.81,NO
108,30,MARRIED,128339.8,311681.25,12,580313.99,NO
109,32,SINGLE,69843.02,247400.94,24,396745.34,YES
110,40,SINGLE,97362.82,334584.25,12,606592.51,NO
111,35,SINGLE,145202.29,561487.42,4,576618.67,YES
112,34,MARRIED,61016.14,244668.14,24,336515.76,YES
113,43,MARRIED,113537.95,273378.39,12,486190.61,NO
114,33,SINGLE,44449.59,270391.4,12,485361.47,NO
115,36,SINGLE,86877.47,321229.07,12,617746.22,NO
116,36,MARRIED,88830.5,307726.32,12,569442.86,NO
117,21,MARRIED,48306.54,183374.02,24,228257.85,YES
118,37,MARRIED,109528.64,278388.4,12,488405.12,NO
119,39,MARRIED,69610.23,211674.18,12,319212.02,NO
120,34,MARRIED,132458.56,310287.28,24,389241.8,YES
121,44,SINGLE,41419.14,181694.89,12,328366.01,NO
122,33,MARRIED,119395.92,299316.74,24,412072.27,YES
123,35,MARRIED,108397.44,323258.88,12,488917.99,NO
124,46,MARRIED,132174.19,330062.95,4,371805.08,YES
125,28,SINGLE,181745.89,473971.66,24,710276.46,YES
126,34,SINGLE,90438.35,286530.97,24,400865.8,YES
127,36,MARRIED,120462.75,329641.61,24,470286.11,YES
128,35,SINGLE,26104.55,205515.41,4,246329.16,YES
129,32,SINGLE,77533.66,232544.91,12,376664.4,NO
130,39,SINGLE,54209.1,173022.07,24,234027.85,YES
131,33,MARRIED,87544.18,277832.86,4,302722.08,YES
132,37,MARRIED,180203.55,490200.51,12,866749.89,NO
133,49,MARRIED,89253.72,230386.93,24,368137.95,YES
134,33,MARRIED,141736.02,320115.13,4,340835.55,YES
135,35,SINGLE,49736.9,179975.61,24,290478.01,YES
136,35,SINGLE,177249.75,458109.65,4,500596.91,YES
137,41,MARRIED,103055.32,255603.17,24,404694.21,YES
138,31,SINGLE,175779.8,584808.59,12,1045501.01,NO
139,32,SINGLE,54519.49,150615.61,12,244805.94,NO
140,36,SINGLE,76998.53,208106.85,12,347905.6,NO
141,35,SINGLE,73102.99,243519.34,12,393882.22,NO
142,33,MARRIED,95001.37,273681.46,24,405241.42,YES
143,32,MARRIED,121872.16,334050.38,4,384701.09,YES
144,32,SINGLE,86785.17,236157.17,12,483940.57,NO
145,25,SINGLE,24746.1,192830.5,12,352652.88,NO
146,33,SINGLE,93367.68,236732.32,12,343032.46,NO
147,26,MARRIED,62181.47,194059.64,24,333282.85,YES
148,41,MARRIED,137568.22,308288.15,4,356288.38,YES
149,41,SINGLE,96756.34,332159.18,24,420481.11,YES
150,38,SINGLE,99706.09,317686.1,24,381810.15,YES
151,36,SINGLE,187612.28,587336.02,12,1029789.33,NO
152,40,MARRIED,83604.48,281093.24,24,353788.39,YES
153,31,MARRIED,52708.58,228390.61,24,310795.54,YES
154,39,SINGLE,121308.47,582055.66,12,1180593.94,NO
155,28,SINGLE,109247.99,256098.86,12,451771.72,NO
156,35,MARRIED,75032.99,214813.65,4,252375.03,YES
157,41,MARRIED,102315.8,281608.63,12,587281.18,NO
158,29,SINGLE,96620.07,247444.54,12,301477.0,NO
159,34,SINGLE,68495.86,279179.48,24,536059.99,YES
160,33,SINGLE,212215.45,607295.86,12,1222021.84,NO
161,38,SINGLE,66740.97,201011.43,12,360101.83,NO
162,36,MARRIED,70161.21,201572.84,12,380692.92,NO
163,32,MARRIED,87175.2,265370.37,24,428386.22,YES
164,34,MARRIED,72628.62,230619.11,12,448178.8,NO
165,43,SINGLE,39279.0,204632.21,12,318940.31,NO
166,37,MARRIED,190861.88,563073.48,12,1246036.95,NO
167,34,SINGLE,56310.66,316059.32,12,435329.87,NO
168,27,SINGLE,58530.5,151551.75,12,207896.07,NO
169,28,SINGLE,112166.68,225588.31,4,244597.21,YES
170,31,MARRIED,76239.29,230020.35,12,403705.85,NO
171,40,SINGLE,92656.81,226620.7,4,237661.06,YES
172,38,MARRIED,59859.67,195609.41,12,324725.74,NO
173,26,SINGLE,70361.54,154603.79,12,264168.64,NO
174,35,MARRIED,61549.48,198467.91,4,215231.84,YES
175,31,MARRIED,63461.74,299382.51,24,560444.53,YES
176,36,SINGLE,95202.65,300838.81,12,561299.99,NO
177,38,SINGLE,113795.54,321240.83,4,393011.29,YES
178,32,SINGLE,62068.51,245699.09,24,295089.0,YES
179,33,SINGLE,147755.29,245051.37,24,300076.81,YES
180,33,SINGLE,195212.82,508433.13,12,895907.99,NO
181,41,MARRIED,171138.66,485089.64,24,716956.95,YES
182,36,SINGLE,117373.6,315229.04,12,666951.82,NO
183,46,SINGLE,128834.65,379618.94,12,713664.04,NO
184,39,MARRIED,88564.06,290387.7,4,306528.4,YES
185,38,SINGLE,122541.24,299887.03,12,540245.4,NO
186,30,MARRIED,98200.81,229150.43,12,404912.78,NO
187,37,MARRIED,72308.34,217091.5,4,225305.93,YES
188,44,SINGLE,78924.2,178309.9,12,349886.32,NO
189,37,SINGLE,74316.23,285249.33,12,460382.5,NO
190,34,SINGLE,67855.56,180488.75,24,232397.36,YES
191,32,SINGLE,65124.36,152165.45,12,281732.26,NO
192,31,MARRIED,100428.8,248533.44,24,439351.14,YES
193,23,SINGLE,58438.51,253581.73,12,481262.66,NO
194,36,SINGLE,81625.98,323656.88,12,612117.65,NO
195,35,SINGLE,90417.65,290820.0,12,509994.4,NO
196,38,MARRIED,38302.27,244673.4,12,411724.2,NO
197,41,MARRIED,96721.35,302336.03,12,422068.58,NO
198,35,MARRIED,118534.7,278223.15,12,447927.84,NO
199,38,SINGLE,206474.18,523952.69,12,1047859.62,NO
200,34,SINGLE,49694.5,163292.03,4,182796.91,YES
201,30,MARRIED,182403.29,608954.17,4,614217.4,YES
202,32,MARRIED,74096.78,246503.24,4,274782.49,YES
203,30,SINGLE,113039.6,297379.34,12,576818.59,NO
204,45,SINGLE,100136.43,170076.01,24,294784.04,YES
205,25,MARRIED,108917.73,230214.04,12,525868.13,NO
206,27,MARRIED,38900.85,198978.82,24,281281.79,YES
207,33,MARRIED,79023.4,206609.96,24,252105.4,YES
208,34,MARRIED,86420.57,262772.66,12,527581.75,NO
209,35,MARRIED,101792.55,285532.3,12,492567.6,NO
210,31,SINGLE,54969.06,190128.91,12,293608.25,NO
211,31,SINGLE,46268.26,189844.42,12,362190.96,NO
212,32,SINGLE,107631.5,233234.39,12,395830.04,NO
213,24,MARRIED,76800.43,253000.89,24,308062.5,YES
214,31,SINGLE,67797.22,188821.2,12,337597.43,NO
215,32,SINGLE,78948.66,207395.87,12,342952.0,NO
216,30,SINGLE,48099.55,246550.25,12,426982.14,NO
217,35,MARRIED,208312.7,591780.25,12,958162.12,NO
218,39,MARRIED,112866.23,344698.35,24,474304.92,YES
219,41,SINGLE,89078.91,177387.49,12,332414.8,NO
220,36,SINGLE,76229.48,245567.96,12,430302.26,NO
221,31,SINGLE,87092.64,209624.4,24,398832.92,YES
222,37,MARRIED,100940.65,269966.33,12,465376.73,NO
223,33,SINGLE,91531.66,191454.82,24,262250.46,YES
224,40,SINGLE,72183.79,221950.43,24,458028.16,YES
225,33,SINGLE,91082.48,303495.09,12,550704.94,NO
226,32,SINGLE,101358.81,217013.04,12,359657.63,NO
227,21,MARRIED,116147.75,262175.22,12,421728.68,NO
228,30,MARRIED,68756.6,177865.1,4,187756.56,YES
229,35,SINGLE,79109.43,184137.48,12,315429.51,NO
230,29,MARRIED,101185.65,212461.75,4,230897.77,YES
231,33,MARRIED,90360.92,244723.13,24,336062.63,YES
232,39,MARRIED,107973.63,354041.05,24,601978.53,YES
233,39,MARRIED,105755.51,308012.18,24,374955.3,YES
234,37,SINGLE,73652.79,259017.66,12,447761.44,NO
235,31,SINGLE,69572.42,269188.47,12,615595.59,NO
236,30,MARRIED,101575.02,279844.13,4,288736.61,YES
237,34,MARRIED,114262.32,275926.21,12,499182.35,NO
238,33,SINGLE,81684.01,259677.76,12,516904.22,NO
239,43,MARRIED,78106.18,236226.87,24,336135.45,YES
240,33,MARRIED,61397.2,187161.23,4,222380.91,YES
241,39,SINGLE,97196.63,168044.36,12,286783.15,NO
242,28,SINGLE,144576.44,541450.33,12,815208.1,NO
243,29,MARRIED,78413.21,293925.14,24,552612.97,YES
244,27,MARRIED,85507.92,252220.09,12,522299.14,NO
245,39,MARRIED,122156.9,361361.76,12,630285.75,NO
246,37,MARRIED,143533.46,526365.24,24,841024.35,YES
247,39,SINGLE,200758.88,493625.77,12,850001.64,NO
248,30,MARRIED,111937.87,317038.37,12,577807.08,NO
249,31,MARRIED,71519.24,217019.89,24,278992.23,YES
250,38,MARRIED,75329.11,251061.74,4,332880.18,YES
251,45,MARRIED,81947.59,225575.91,12,395747.15,NO
252,33,SINGLE,95232.07,237096.14,12,476628.98,NO
253,36,MARRIED,175219.34,574438.04,12,961345.97,NO
254,41,SINGLE,124093.64,308394.74,12,522866.58,NO
255,26,MARRIED,77475.35,214101.28,12,388481.04,NO
256,36,MARRIED,58418.84,225758.17,4,270341.27,YES
257,39,MARRIED,109265.42,303961.16,4,350941.26,YES
258,37,MARRIED,107562.02,335223.26,24,596205.5,YES
259,39,SINGLE,144719.77,334685.29,12,573325.11,NO
260,28,SINGLE,80112.35,206094.15,24,261097.38,YES
261,37,MARRIED,61196.21,211659.77,12,413736.03,NO
262,32,MARRIED,73274.18,226347.14,12,414731.91,NO
263,36,SINGLE,109038.37,317606.41,4,372411.88,YES
264,35,SINGLE,103710.12,316466.36,12,544561.11,NO
265,39,SINGLE,128352.42,330784.42,4,335525.28,YES
266,42,MARRIED,82048.49,339738.23,12,595577.5,NO
267,41,MARRIED,116734.39,310763.17,4,325850.2,YES
268,34,SINGLE,29529.5,183429.46,12,323290.97,NO
269,38,SINGLE,197832.4,509975.65,12,760907.85,NO
270,29,SINGLE,72006.48,253121.65,4,325012.71,YES
271,40,SINGLE,182258.38,608929.5,12,1249695.52,NO
272,26,MARRIED,191863.78,517087.98,12,1003049.28,NO
273,38,MARRIED,106167.42,242084.45,4,249291.19,YES
274,22,MARRIED,62309.95,217824.42,24,315203.66,YES
275,35,SINGLE,122884.53,305731.32,4,347881.78,YES
276,34,MARRIED,60062.2,192870.18,12,403345.44,NO
277,34,MARRIED,90519.96,288716.89,12,501489.52,NO
278,45,SINGLE,59007.2,179568.69,24,246187.3,YES
279,37,SINGLE,57253.88,219934.23,24,345784.94,YES
280,31,MARRIED,104692.29,299944.04,4,312998.71,YES
281,32,MARRIED,71009.62,187107.45,12,326577.31,NO
282,41,MARRIED,77040.65,255298.11,4,282781.58,YES
283,32,SINGLE,47832.94,225084.27,12,454431.25,NO
284,30,SINGLE,72479.68,202491.18,12,316951.4,NO
285,39,MARRIED,101216.79,354018.93,12,565592.9,NO
286,26,MARRIED,99901.18,184798.63,12,329437.74,NO
287,38,SINGLE,86602.2,311372.47,12,613509.93,NO
288,33,SINGLE,36452.22,220113.74,12,376178.27,NO
289,32,SINGLE,67182.27,281545.92,12,633614.84,NO
290,38,SINGLE,99433.65,316440.45,12,527965.81,NO
291,43,SINGLE,127375.75,356266.99,12,629610.21,NO
292,35,MARRIED,24376.62,187328.95,24,301014.67,YES
293,36,SINGLE,84854.45,199257.21,24,274100.95,YES
294,32,MARRIED,138449.24,329901.47,24,482704.24,YES
295,37,MARRIED,84791.08,179676.63,24,256361.65,YES
296,33,MARRIED,83498.89,235907.5,12,437145.85,NO
297,41,SINGLE,16597.53,151972.2,4,171289.87,YES
298,30,SINGLE,49293.95,186043.13,12,376694.27,NO
299,35,SINGLE,84241.8,194417.84,12,352597.79,NO
300,31,MARRIED,94428.15,264175.55,24,434102.49,YES
